Agency,Agency Type,Distribution Channel,Product Name,Claim,Duration,Destination,Net Sales,Commision (in value),Age
7,1,1,1,0,18,53,30.0,0.0,36
7,1,1,1,0,189,79,20.0,0.0,46
7,1,1,1,0,105,63,44.0,0.0,25
7,1,1,1,0,23,68,57.0,0.0,36
7,1,1,1,0,57,138,37.0,0.0,36
7,1,1,1,0,29,126,46.0,0.0,36
7,1,1,10,0,1,56,10.0,0.0,36
7,1,1,10,0,15,88,16.0,0.0,36
7,1,1,10,0,16,63,28.0,0.0,65
7,1,1,10,0,180,102,21.0,0.0,36
7,1,1,10,0,90,53,37.0,0.0,36
7,1,1,10,0,91,102,18.0,0.0,36
7,1,1,10,0,2,118,14.0,0.0,31
7,1,1,10,0,17,129,19.0,0.0,36
7,1,1,10,0,10,102,37.0,0.0,36
7,1,1,10,0,11,129,10.0,0.0,64
7,1,1,10,0,279,89,80.0,0.0,36
7,1,1,10,0,36,126,16.0,0.0,20
7,1,1,10,0,12,140,39.0,0.0,32
7,1,1,10,0,18,145,14.0,0.0,36
7,1,1,10,0,6,56,25.0,0.0,43
7,1,1,10,0,2,79,10.0,0.0,35
7,1,1,10,0,18,129,10.0,0.0,36
7,1,1,10,0,2,53,10.0,0.0,36
7,1,1,10,0,39,118,68.0,0.0,36
7,1,1,10,0,4,140,17.0,0.0,35
7,1,1,10,0,38,68,0.0,0.0,36
7,1,1,10,0,10,68,23.0,0.0,36
7,1,1,10,0,92,93,80.0,0.0,36
7,1,1,10,0,22,28,80.0,0.0,24
7,1,1,10,0,10,129,10.0,0.0,30
7,1,1,10,0,64,79,10.0,0.0,61
7,1,1,10,0,7,79,15.0,0.0,36
7,1,1,10,0,8,145,0.0,0.0,36
7,1,1,10,0,37,129,30.0,0.0,43
7,1,1,10,0,2,68,16.0,0.0,36
7,1,1,10,0,31,68,58.0,0.0,29
7,1,1,10,0,41,63,20.0,0.0,40
7,1,1,10,0,6,79,10.0,0.0,29
7,1,1,10,0,8,57,17.0,0.0,43
7,1,1,10,0,5,57,37.0,0.0,21
7,1,1,10,0,126,26,27.0,0.0,36
7,1,1,10,0,10,88,51.0,0.0,36
7,1,1,10,0,29,102,13.0,0.0,21
7,1,1,0,0,50,4,24.0,0.0,36
7,1,1,0,0,1,145,20.0,0.0,36
7,1,1,0,0,2,26,26.0,0.0,36
7,1,1,0,0,1,118,86.0,0.0,36
7,1,1,0,0,8,93,28.0,0.0,36
7,1,1,0,0,19,79,20.0,0.0,62
7,1,1,0,0,24,68,90.0,0.0,36
8,0,1,25,0,11,56,50.0,20.0,118
12,0,1,25,0,4,19,15.0,6.0,44
13,0,1,22,0,55,118,21.35,5.98,48
13,0,1,22,0,15,118,6.5,1.82,48
9,0,1,8,0,45,4,26.0,9.1,31
9,0,1,8,0,181,57,30.0,10.5,48
9,0,1,8,0,5,57,22.0,7.7,29
9,0,1,8,0,22,129,18.0,6.3,66
9,0,1,8,0,76,4,35.0,12.25,57
9,0,1,8,0,41,26,44.0,15.4,37
9,0,1,8,0,43,129,22.0,7.7,34
9,0,1,8,0,5,26,22.0,7.7,41
1,0,1,2,0,56,102,75.96,26.59,48
1,0,1,2,0,3,118,12.5,4.38,48
1,0,1,2,0,3,79,4.99,1.75,48
2,0,1,9,0,20,118,47.0,11.75,30
2,0,1,9,0,29,118,27.0,6.75,30
2,0,1,9,0,164,118,69.55,17.39,26
2,0,1,9,0,23,118,30.55,7.64,35
2,0,1,17,0,13,118,19.5,4.88,34
2,0,1,17,0,29,118,31.85,7.96,45
2,0,1,13,0,23,118,77.35,19.34,52
6,1,1,16,0,23,79,29.7,17.82,31
6,1,1,16,0,29,4,39.6,23.76,52
6,1,1,16,0,5,79,0.0,29.7,53
6,1,1,16,0,26,140,148.5,89.1,40
6,1,1,16,0,26,129,29.7,17.82,31
6,1,1,16,0,152,140,9.9,5.94,31
6,1,1,16,0,48,4,59.4,35.64,26
6,1,1,16,0,5,79,39.6,23.76,60
6,1,1,16,0,30,79,59.4,35.64,27
6,1,1,16,0,9,129,49.5,29.7,50
6,1,1,16,0,32,79,49.5,29.7,31
6,1,1,16,0,8,79,39.6,23.76,30
6,1,1,16,0,4,79,19.8,11.88,29
6,1,1,16,0,111,4,89.1,53.46,31
6,1,1,16,0,34,4,19.8,11.88,34
6,1,1,16,0,19,79,39.6,23.76,35
6,1,1,16,0,20,4,148.5,89.1,34
6,1,1,16,0,201,4,0.0,77.22,23
6,1,1,16,0,2,118,9.9,5.94,44
7,1,1,1,0,4,145,20.0,0.0,36
7,1,1,1,0,13,129,20.0,0.0,36
7,1,1,1,0,39,103,69.0,0.0,36
7,1,1,1,0,10,53,20.0,0.0,36
7,1,1,1,0,48,79,20.0,0.0,53
7,1,1,1,0,62,126,22.0,0.0,36
7,1,1,1,0,4,79,20.0,0.0,53
7,1,1,1,0,90,68,42.0,0.0,36
7,1,1,1,0,10,102,56.0,0.0,36
7,1,1,1,0,13,79,20.0,0.0,43
7,1,1,1,0,19,129,20.0,0.0,36
7,1,1,1,0,3,118,20.0,0.0,39
7,1,1,1,0,18,129,20.0,0.0,45
7,1,1,1,0,18,145,20.0,0.0,36
7,1,1,1,0,22,26,69.0,0.0,36
7,1,1,1,0,6,26,36.0,0.0,36
7,1,1,1,0,11,79,20.0,0.0,48
7,1,1,1,0,18,63,112.0,0.0,36
7,1,1,1,0,12,26,27.0,0.0,36
7,1,1,1,0,81,68,32.0,0.0,24
7,1,1,1,0,36,118,67.0,0.0,36
7,1,1,1,0,28,118,20.0,0.0,36
7,1,1,1,0,57,68,53.0,0.0,57
7,1,1,1,0,42,79,20.0,0.0,36
7,1,1,1,0,91,63,44.0,0.0,29
7,1,1,1,0,7,53,20.0,0.0,61
7,1,1,1,0,12,79,20.0,0.0,27
7,1,1,1,0,49,79,20.0,0.0,27
7,1,1,1,0,13,57,20.0,0.0,36
7,1,1,1,0,28,56,50.0,0.0,36
7,1,1,1,0,124,63,89.0,0.0,25
7,1,1,10,0,7,79,16.0,0.0,36
7,1,1,10,0,22,53,29.0,0.0,36
7,1,1,10,0,1,140,20.0,0.0,47
7,1,1,10,0,49,56,24.0,0.0,36
7,1,1,10,0,28,129,27.0,0.0,36
7,1,1,10,0,13,26,33.0,0.0,36
7,1,1,10,0,118,88,10.0,0.0,35
7,1,1,10,0,7,118,18.0,0.0,36
7,1,1,10,0,7,68,58.0,0.0,36
7,1,1,10,0,52,122,46.0,0.0,36
7,1,1,10,0,59,88,16.0,0.0,21
7,1,1,10,0,38,53,12.0,0.0,36
7,1,1,10,0,18,129,29.0,0.0,36
7,1,1,10,0,73,140,69.0,0.0,59
7,1,1,10,0,21,57,15.0,0.0,31
7,1,1,10,0,25,79,20.0,0.0,36
7,1,1,10,0,19,68,19.0,0.0,36
7,1,1,10,0,20,79,13.0,0.0,36
7,1,1,10,0,33,139,74.0,0.0,36
7,1,1,10,0,31,129,40.0,0.0,30
7,1,1,10,0,24,129,10.0,0.0,36
7,1,1,10,0,1,140,17.0,0.0,28
7,1,1,10,0,12,79,13.0,0.0,36
7,1,1,10,0,5,79,10.0,0.0,36
7,1,1,10,0,25,31,80.0,0.0,36
7,1,1,10,0,12,53,80.0,0.0,36
7,1,1,10,0,12,129,34.0,0.0,36
7,1,1,10,0,94,4,80.0,0.0,36
7,1,1,10,0,13,88,10.0,0.0,36
7,1,1,10,0,46,4,80.0,0.0,36
7,1,1,10,0,29,68,22.0,0.0,30
7,1,1,10,0,57,118,11.0,0.0,40
7,1,1,10,0,82,44,80.0,0.0,36
7,1,1,10,0,13,123,10.0,0.0,36
7,1,1,10,0,12,21,14.0,0.0,36
7,1,1,10,0,9,129,13.0,0.0,36
7,1,1,10,0,6,129,23.0,0.0,33
7,1,1,0,0,55,4,26.0,0.0,36
7,1,1,0,0,2,79,20.0,0.0,36
7,1,1,0,0,26,79,20.0,0.0,24
7,1,1,0,0,4,26,20.0,0.0,36
7,1,1,0,0,25,26,46.0,0.0,36
7,1,1,0,0,49,118,20.0,0.0,29
8,0,1,25,0,4,56,62.0,24.8,118
12,0,1,25,0,14,19,15.0,6.0,39
13,0,1,22,0,54,118,1.98,0.56,48
13,0,1,22,0,40,118,3.89,1.09,48
13,0,1,22,0,11,118,7.21,2.02,48
9,0,1,8,0,5,53,22.0,7.7,67
9,0,1,8,0,5,57,22.0,7.7,53
9,0,1,8,0,6,129,22.0,7.7,60
9,0,1,8,0,2,145,18.0,6.3,57
9,0,1,8,0,15,21,30.0,10.5,57
9,0,1,8,0,90,79,22.0,7.7,57
9,0,1,8,0,28,53,35.0,12.25,52
9,0,1,8,0,21,145,22.0,7.7,40
9,0,1,8,0,130,57,33.0,11.55,38
9,0,1,8,0,34,26,22.0,7.7,46
9,0,1,25,0,49,5,67.0,23.45,49
9,0,1,25,0,33,4,92.0,32.2,72
2,0,1,9,0,19,118,17.55,4.39,31
2,0,1,9,0,4,118,17.55,4.39,35
2,0,1,9,0,9,118,17.55,4.39,26
2,0,1,9,0,28,118,17.55,4.39,33
2,0,1,9,0,18,118,0.0,7.47,45
2,0,1,9,0,18,118,38.35,9.59,34
2,0,1,9,0,55,118,94.0,23.5,30
2,0,1,9,0,32,118,44.85,11.21,27
2,0,1,17,0,13,118,62.25,15.56,27
2,0,1,17,0,13,118,81.75,20.44,30
2,0,1,17,0,12,118,62.25,15.56,29
2,0,1,17,1,10,118,43.55,10.89,45
2,0,1,17,0,10,118,43.55,10.89,46
2,0,1,17,0,34,118,109.0,27.25,27
2,0,1,4,0,388,118,252.85,63.21,29
2,0,1,4,0,388,118,260.63,65.16,30
2,0,1,4,0,369,118,260.63,65.16,47
2,0,1,4,0,368,118,252.85,63.21,30
6,1,1,16,0,114,139,69.3,41.58,51
6,1,1,16,0,20,61,39.6,23.76,51
6,1,1,16,0,40,121,128.7,77.22,55
6,1,1,16,0,3,79,29.7,17.82,28
6,1,1,16,0,85,93,108.9,65.34,35
6,1,1,16,0,5,79,0.0,29.7,54
6,1,1,16,0,17,140,118.8,71.28,32
6,1,1,16,0,6,140,29.7,17.82,31
6,1,1,16,0,133,96,0.0,65.34,31
6,1,1,16,0,5,139,39.6,23.76,31
6,1,1,16,0,5,129,29.7,17.82,44
6,1,1,16,0,18,4,138.6,83.16,51
6,1,1,16,0,5,4,29.7,17.82,29
6,1,1,16,0,45,129,19.8,11.88,33
6,1,1,16,0,8,121,49.5,29.7,31
6,1,1,16,0,103,140,158.4,95.04,29
6,1,1,16,0,12,63,29.7,17.82,31
7,1,1,1,0,110,118,20.0,0.0,35
7,1,1,1,0,147,139,64.0,0.0,36
7,1,1,1,0,32,128,112.0,0.0,36
7,1,1,1,0,26,79,20.0,0.0,36
7,1,1,1,0,37,140,112.0,0.0,31
7,1,1,1,0,32,140,50.0,0.0,25
7,1,1,1,0,7,53,23.0,0.0,28
7,1,1,1,0,39,118,38.0,0.0,36
7,1,1,1,0,27,57,20.0,0.0,36
7,1,1,1,0,22,57,20.0,0.0,36
7,1,1,1,0,306,63,31.0,0.0,36
7,1,1,1,0,11,4,74.0,0.0,36
7,1,1,1,0,12,71,37.0,0.0,36
7,1,1,1,0,21,26,52.0,0.0,36
7,1,1,1,0,56,61,69.0,0.0,36
7,1,1,1,0,56,61,69.0,0.0,36
7,1,1,1,0,20,129,20.0,0.0,36
7,1,1,1,0,41,145,26.0,0.0,36
7,1,1,1,0,15,102,30.0,0.0,36
7,1,1,1,0,20,56,46.0,0.0,36
7,1,1,1,0,9,129,20.0,0.0,36
7,1,1,1,0,14,129,20.0,0.0,40
7,1,1,1,0,35,118,56.0,0.0,36
7,1,1,1,0,2,79,29.0,0.0,36
7,1,1,1,0,8,79,20.0,0.0,35
7,1,1,1,0,9,118,0.0,0.0,36
7,1,1,1,0,8,79,32.0,0.0,36
7,1,1,1,0,10,145,23.0,0.0,36
7,1,1,1,0,24,145,71.0,0.0,36
7,1,1,1,0,4,118,20.0,0.0,36
7,1,1,1,0,3,79,20.0,0.0,36
7,1,1,1,0,4,26,37.0,0.0,36
7,1,1,1,0,3,79,20.0,0.0,25
7,1,1,1,0,17,129,26.0,0.0,69
7,1,1,1,0,75,4,31.0,0.0,36
7,1,1,1,0,9,118,30.0,0.0,36
7,1,1,1,0,47,79,37.0,0.0,31
7,1,1,1,0,28,123,39.0,0.0,36
7,1,1,1,0,83,102,20.0,0.0,39
7,1,1,1,0,56,4,27.0,0.0,36
7,1,1,10,0,1,140,24.0,0.0,60
7,1,1,10,1,73,129,16.0,0.0,36
7,1,1,10,0,12,79,10.0,0.0,36
7,1,1,10,0,15,118,19.0,0.0,36
7,1,1,10,0,12,145,37.0,0.0,36
7,1,1,10,0,27,118,70.0,0.0,26
7,1,1,10,0,24,79,14.0,0.0,36
7,1,1,10,0,27,79,10.0,0.0,49
7,1,1,10,0,41,68,10.0,0.0,22
7,1,1,10,0,41,68,10.0,0.0,23
7,1,1,10,0,35,88,13.0,0.0,39
7,1,1,10,0,8,140,42.0,0.0,55
7,1,1,10,0,34,26,33.0,0.0,36
7,1,1,10,0,27,21,17.0,0.0,36
7,1,1,10,0,54,68,39.0,0.0,36
7,1,1,10,0,11,53,18.0,0.0,36
7,1,1,10,0,5,53,29.0,0.0,36
7,1,1,10,0,40,53,24.0,0.0,28
7,1,1,10,0,29,126,43.0,0.0,36
7,1,1,10,0,7,118,10.0,0.0,36
7,1,1,10,0,28,129,30.0,0.0,36
7,1,1,10,0,57,123,10.0,0.0,32
7,1,1,10,0,38,140,18.0,0.0,38
7,1,1,10,0,53,93,59.0,0.0,36
7,1,1,10,0,40,118,16.0,0.0,45
7,1,1,10,0,18,88,19.0,0.0,36
7,1,1,10,0,32,26,33.0,0.0,36
7,1,1,10,0,13,53,21.0,0.0,53
7,1,1,10,0,25,56,20.0,0.0,36
7,1,1,10,0,15,26,32.0,0.0,36
7,1,1,10,0,11,26,24.0,0.0,36
7,1,1,10,0,13,26,16.0,0.0,36
7,1,1,10,0,36,140,11.0,0.0,21
7,1,1,10,0,26,79,22.0,0.0,54
7,1,1,10,0,27,56,0.0,0.0,36
7,1,1,10,0,49,4,18.0,0.0,36
7,1,1,10,0,33,57,10.0,0.0,36
7,1,1,10,0,27,57,10.0,0.0,28
7,1,1,10,0,81,90,45.0,0.0,36
7,1,1,10,0,27,53,30.0,0.0,20
7,1,1,10,0,25,4,45.0,0.0,36
7,1,1,10,0,82,102,14.0,0.0,36
7,1,1,10,0,70,126,21.0,0.0,36
7,1,1,10,0,19,79,10.0,0.0,36
7,1,1,10,0,19,79,10.0,0.0,36
7,1,1,0,0,14,26,20.0,0.0,36
7,1,1,0,0,6,88,20.0,0.0,57
7,1,1,0,0,9,88,20.0,0.0,36
7,1,1,0,0,52,4,28.0,0.0,36
7,1,1,0,0,17,63,39.0,0.0,36
7,1,1,0,0,25,26,27.0,0.0,36
7,1,1,0,0,5,118,51.0,0.0,36
7,1,1,0,0,49,102,20.0,0.0,36
7,1,1,0,0,5,145,20.0,0.0,29
7,1,1,0,0,17,79,37.0,0.0,36
8,0,1,25,0,16,56,50.0,20.0,118
12,0,1,25,0,75,19,31.0,12.4,78
12,0,1,25,0,3,19,15.0,6.0,48
13,0,1,22,0,39,118,1.48,0.41,48
13,0,1,22,0,53,118,73.67,20.65,48
13,0,1,22,0,40,118,7.21,2.02,48
13,0,1,22,0,13,118,5.09,1.43,48
9,0,1,8,0,4,88,18.0,6.3,29
9,0,1,8,0,54,53,26.0,9.1,40
9,0,1,8,0,3,79,18.0,6.3,33
9,0,1,8,0,5,79,18.0,6.3,40
9,0,1,8,0,104,63,35.0,12.25,38
9,0,1,8,0,10,129,22.0,7.7,42
9,0,1,8,0,24,56,35.0,12.25,53
9,0,1,8,0,10,129,22.0,7.7,45
9,0,1,8,0,48,56,50.0,17.5,53
9,0,1,8,0,6,129,18.0,6.3,49
9,0,1,8,0,7,126,26.0,9.1,47
9,0,1,8,0,20,123,26.0,9.1,45
9,0,1,8,0,6,26,26.0,9.1,47
9,0,1,8,0,15,129,22.0,7.7,49
9,0,1,8,0,4,129,18.0,6.3,55
9,0,1,8,0,48,63,26.0,9.1,32
9,0,1,8,0,14,129,22.0,7.7,70
9,0,1,8,0,14,88,33.0,11.55,34
9,0,1,8,0,42,26,63.0,22.05,48
9,0,1,8,0,13,129,22.0,7.7,68
9,0,1,25,0,131,139,125.0,43.75,31
9,0,1,25,0,36,139,87.0,30.45,51
9,0,1,25,0,202,41,149.0,52.15,38
9,0,1,25,0,42,26,92.0,32.2,53
9,0,1,25,0,11,44,87.0,30.45,49
9,0,1,25,0,10,26,45.0,15.75,50
5,1,0,12,0,92,79,29.0,9.57,72
5,1,0,12,0,92,79,29.0,9.57,77
4,1,0,12,0,5,79,29.0,9.57,118
4,1,0,12,0,5,79,29.0,9.57,118
4,1,0,12,0,5,79,29.0,9.57,118
3,1,0,12,0,36,129,29.0,9.57,63
1,0,1,2,0,2,102,7.44,2.6,48
1,0,1,2,0,2,129,9.48,3.32,48
2,0,1,9,0,10,118,38.35,9.59,71
2,0,1,9,0,17,118,38.35,9.59,45
2,0,1,9,0,32,118,22.1,5.53,28
2,0,1,9,0,32,118,38.35,9.59,26
2,0,1,9,0,4,118,17.55,4.39,22
2,0,1,9,0,7,118,17.25,4.31,60
2,0,1,9,0,179,118,682.0,170.5,25
2,0,1,9,0,33,118,17.25,4.31,30
2,0,1,9,0,5,118,17.55,4.39,25
2,0,1,9,0,31,118,38.35,9.59,56
2,0,1,17,0,18,118,71.0,17.75,42
2,0,1,17,1,11,118,62.25,15.56,33
2,0,1,17,0,47,118,70.85,17.71,39
2,0,1,17,0,61,118,25.9,6.47,37
2,0,1,17,0,5,118,25.9,6.47,42
2,0,1,13,0,26,118,119.0,29.75,48
2,0,1,4,1,365,118,187.85,46.96,32
2,0,1,4,0,374,118,252.85,63.21,42
2,0,1,4,0,386,118,252.85,63.21,33
2,0,1,3,0,369,118,389.35,97.34,42
6,1,1,16,0,86,79,39.6,23.76,43
6,1,1,16,0,2,79,9.9,5.94,67
6,1,1,16,0,2,140,19.8,11.88,30
6,1,1,16,0,17,129,29.7,17.82,52
6,1,1,16,0,60,79,19.8,11.88,31
6,1,1,16,0,28,129,49.5,29.7,31
6,1,1,16,0,8,79,19.8,11.88,69
6,1,1,16,0,4,138,19.8,11.88,31
6,1,1,16,0,32,79,0.0,89.1,45
6,1,1,16,0,26,4,39.6,23.76,43
6,1,1,16,0,100,4,0.0,106.92,31
6,1,1,16,1,105,139,39.6,23.76,32
6,1,1,16,0,244,129,49.5,29.7,41
6,1,1,16,0,34,4,59.4,35.64,35
7,1,1,1,0,56,129,31.0,0.0,32
7,1,1,1,0,52,102,34.0,0.0,36
7,1,1,1,0,53,102,20.0,0.0,26
7,1,1,1,0,39,79,20.0,0.0,36
7,1,1,1,0,99,129,33.0,0.0,36
7,1,1,1,0,45,126,25.0,0.0,36
7,1,1,1,0,9,57,20.0,0.0,51
7,1,1,1,0,21,79,20.0,0.0,36
7,1,1,1,0,52,102,34.0,0.0,36
7,1,1,1,0,52,102,34.0,0.0,36
7,1,1,1,0,76,26,38.0,0.0,36
7,1,1,1,0,25,102,70.0,0.0,36
7,1,1,1,0,46,129,24.0,0.0,36
7,1,1,1,0,202,122,76.0,0.0,36
7,1,1,1,0,103,68,56.0,0.0,36
7,1,1,1,0,11,118,26.0,0.0,36
7,1,1,1,0,33,53,21.0,0.0,26
7,1,1,1,0,108,88,20.0,0.0,29
7,1,1,1,0,19,79,20.0,0.0,50
7,1,1,1,0,279,139,107.0,0.0,36
7,1,1,1,1,9,26,87.0,0.0,36
7,1,1,1,0,13,57,20.0,0.0,65
7,1,1,1,0,11,129,20.0,0.0,36
7,1,1,1,0,8,118,30.0,0.0,36
7,1,1,1,0,16,26,46.0,0.0,36
7,1,1,1,0,6,57,26.0,0.0,36
7,1,1,1,0,10,21,103.0,0.0,36
7,1,1,1,0,14,79,20.0,0.0,39
7,1,1,1,0,45,26,0.0,0.0,36
7,1,1,1,0,277,31,21.0,0.0,36
7,1,1,1,0,45,26,33.0,0.0,36
7,1,1,1,0,107,129,20.0,0.0,38
7,1,1,1,0,10,26,68.0,0.0,36
7,1,1,1,0,61,57,25.0,0.0,36
7,1,1,1,0,83,26,28.0,0.0,36
7,1,1,1,0,61,57,25.0,0.0,36
7,1,1,1,0,47,129,68.0,0.0,36
7,1,1,1,0,34,4,62.0,0.0,36
7,1,1,1,0,25,140,98.0,0.0,38
7,1,1,1,0,7,91,112.0,0.0,36
7,1,1,1,0,7,79,20.0,0.0,36
7,1,1,10,0,18,26,31.0,0.0,36
7,1,1,10,0,38,140,10.0,0.0,42
7,1,1,10,0,12,53,21.0,0.0,51
7,1,1,10,0,6,118,13.0,0.0,28
7,1,1,10,0,14,129,27.0,0.0,36
7,1,1,10,0,41,57,12.0,0.0,36
7,1,1,10,0,56,126,21.0,0.0,36
7,1,1,10,0,7,77,19.0,0.0,36
7,1,1,10,0,87,139,80.0,0.0,43
7,1,1,10,0,22,79,11.0,0.0,45
7,1,1,10,0,24,118,60.0,0.0,36
7,1,1,10,0,59,88,16.0,0.0,36
7,1,1,10,0,12,79,20.0,0.0,45
7,1,1,10,0,76,56,22.0,0.0,36
7,1,1,10,0,12,145,15.0,0.0,36
7,1,1,10,0,45,129,30.0,0.0,36
7,1,1,10,0,83,102,23.0,0.0,36
7,1,1,10,0,10,56,45.0,0.0,36
7,1,1,10,0,28,56,25.0,0.0,36
7,1,1,10,0,276,29,80.0,0.0,36
7,1,1,10,0,27,26,46.0,0.0,49
7,1,1,10,0,28,56,35.0,0.0,36
7,1,1,10,0,19,40,80.0,0.0,36
7,1,1,10,0,123,79,26.0,0.0,28
7,1,1,10,0,11,57,32.0,0.0,36
7,1,1,10,0,11,129,15.0,0.0,36
7,1,1,10,0,12,118,10.0,0.0,36
7,1,1,10,0,4,129,10.0,0.0,36
7,1,1,10,0,7,129,10.0,0.0,24
7,1,1,10,0,12,4,33.0,0.0,36
7,1,1,10,0,54,23,10.0,0.0,22
7,1,1,10,0,2,118,14.0,0.0,36
7,1,1,10,0,3,68,49.0,0.0,21
7,1,1,10,0,47,26,31.0,0.0,36
7,1,1,10,0,9,53,15.0,0.0,36
7,1,1,10,0,277,23,80.0,0.0,29
7,1,1,10,0,15,118,80.0,0.0,36
7,1,1,10,0,26,102,19.0,0.0,29
7,1,1,10,0,39,57,27.0,0.0,37
7,1,1,10,0,40,63,43.0,0.0,36
7,1,1,10,0,4,145,10.0,0.0,36
7,1,1,10,0,39,63,80.0,0.0,36
7,1,1,10,0,5,53,10.0,0.0,36
7,1,1,10,0,81,63,36.0,0.0,36
7,1,1,10,0,6,118,16.0,0.0,45
7,1,1,10,0,8,129,10.0,0.0,53
7,1,1,10,0,5,79,19.0,0.0,36
7,1,1,10,0,122,102,13.0,0.0,36
7,1,1,10,0,31,79,14.0,0.0,36
7,1,1,10,0,148,63,40.0,0.0,36
7,1,1,10,0,7,145,10.0,0.0,58
7,1,1,10,0,123,118,49.0,0.0,36
7,1,1,10,0,28,61,72.0,0.0,36
7,1,1,10,0,32,68,55.0,0.0,36
7,1,1,10,0,64,63,38.0,0.0,36
7,1,1,10,0,18,145,0.0,0.0,36
7,1,1,10,0,17,79,40.0,0.0,35
7,1,1,10,0,33,26,32.0,0.0,36
7,1,1,10,0,7,21,41.0,0.0,36
7,1,1,10,0,22,123,30.0,0.0,36
7,1,1,10,0,17,129,27.0,0.0,36
7,1,1,10,0,41,23,40.0,0.0,26
7,1,1,10,0,278,23,62.0,0.0,32
7,1,1,10,0,9,53,39.0,0.0,61
7,1,1,10,0,25,118,16.0,0.0,36
7,1,1,10,0,26,56,30.0,0.0,36
7,1,1,10,0,18,126,17.0,0.0,36
7,1,1,0,0,204,118,32.0,0.0,36
7,1,1,0,0,112,68,23.0,0.0,36
7,1,1,0,0,3,68,20.0,0.0,36
7,1,1,0,0,2,132,56.0,0.0,36
7,1,1,0,0,10,118,20.0,0.0,55
7,1,1,0,0,7,118,20.0,0.0,36
7,1,1,0,0,8,53,55.0,0.0,49
7,1,1,0,0,27,118,20.0,0.0,36
7,1,1,0,0,54,110,20.0,0.0,36
7,1,1,0,0,12,4,47.0,0.0,36
7,1,1,0,0,13,145,20.0,0.0,39
7,1,1,0,0,31,140,20.0,0.0,45
8,0,1,25,0,10,56,31.0,12.4,118
8,0,1,25,0,18,56,0.0,28.8,118
8,0,1,25,0,7,56,62.0,24.8,118
8,0,1,25,0,12,56,60.0,24.0,118
8,0,1,25,0,15,56,50.0,20.0,118
10,1,1,25,0,40,57,28.0,10.64,48
10,1,1,25,0,38,91,75.0,28.5,48
10,1,1,25,0,111,44,95.0,36.1,48
12,0,1,25,0,4,19,15.0,6.0,52
12,0,1,25,0,5,19,15.0,6.0,38
12,0,1,25,0,3,19,15.0,6.0,39
12,0,1,25,0,15,19,15.0,6.0,45
13,0,1,22,0,78,118,8.49,2.38,48
9,0,1,8,0,7,57,30.0,10.5,35
9,0,1,8,0,97,63,44.0,15.4,20
9,0,1,8,0,13,88,33.0,11.55,63
